model,n_events_strict,mc_strict_maxc,b_strict,m_min,m_median,m_mean,mc_paper_style,r2_paper_style,n_bins_fit
EQT,3159,0.750000000000002,1.2221323503816353,-1.511463436,0.6718695011288338,0.6472268314668743,0.5249999999999988,0.985667442093952,13
RNN,2854,0.6500000000000017,1.112017288967919,-1.298007081,0.6523307968189856,0.6297022207494963,0.524999999999999,0.9891598330940914,13
Unet,2880,0.6500000000000019,1.106719647295146,-1.409675245,0.7090872610000563,0.698337050938253,0.6749999999999987,0.9847951802861128,12
LPPNL,2870,0.7500000000000016,1.1238459327078594,-1.091764545,0.6350394082124061,0.6390716680377664,0.6749999999999989,0.9932205296624612,12
